No.,Lims No.,物质名称(英文),物质名称(中文),EC 号码,CAS 号码,可能用途
125,,Heptacosafluorotetradecanoic acid,全氟代十四酸,206-803-4,376-06-7,用于生产含氟聚合物; 用作服装、皮革、食品保鲜膜和地毯，家具的防水处理剂; 还用于涂料、油漆、造纸和灭火泡沫
126,,"Hexabromocyclododecane (HBCDD) and all major diastereoisomers identified (α – HBCDD, β-HBCDD, γ-HBCDD)",六溴环十二烷,"247-148-4,
221-695-9","25637-99-4, 
3194-55-6 
(134237-50-6)
(134237-51-7)
(134237-52-8)","作阻燃剂用于EPS（包装材料）, XPS（建筑材料中的绝缘板）, HIPS（电子电气产品的外壳） 软垫家具的布料, 窗帘和地毯用塑料衬底"
127,,"Hexahydromethylphthalic anhydride [1], Hexahydro-4-methylphthalic anhydride [2], Hexahydro-1-methylphthalic anhydride [3], Hexahydro-3-methylphthalic anhydride [4] [The individual isomers [2], [3] and [4] (including their cis- and trans- stereo isomeric forms) and all possible combinations of the isomers [1] are covered by this entry]",甲基六氢苯酐、4-甲基六氢苯酐、甲基六氢化邻苯二甲酸酐、3-甲基六氢苯二甲酯酐,"247-094-1, 
243-072-0,
256-356-4,
260-566-1","25550-51-0, 
19438-60-9, 
48122-14-1,
57110-29-9",用作环氧树脂的硬化剂; 用于生产聚酯、醇酸树脂和增塑剂;用作热塑性聚合物的链交联剂 ; 用于涂料，油漆和清漆
128,50,Hydrazine,肼,206-114-9,7803-57-8/ 302-01-2,用作制造肼衍生物的中间体; 作为在聚合反应的单体; 水处理的缓蚀剂; 用于金属还原和化学品的精炼
129,,Imidazolidine-2-thione (2-imidazoline-2-thiol),"1,2-亚乙基硫脲",202-506-9,96-45-7,作为硫化聚氯丁二烯（氯丁橡胶）和聚丙烯酸酯橡胶的促进剂
130,190,Lead,铅,231-100-4,7439-92-1,"用于铅酸电池和建筑行业的铅片中；
用作军火的子弹，用于合金钢；
用于钎焊合金和电缆护套；
用于氧化物，颜料，稳定剂和其它铅的化合物的生产。"
131,108,Lead bis(tetrafluoroborate),氟硼酸铅,237-486-0,13814-96-5,用于环氧树脂固化剂; 用于用铅处理金属物件的电镀液; 用于金属表面处理产品，包括电镀、电镀产品和用于生产聚酯的催化剂
132,25,Lead chromate,铬酸铅,231-846-0,7758-97-6,铬酸铅的油漆用于需要防止腐蚀或需要保护颜色鲜艳的工业用产品中; 用于初级涂层作防锈用途; 皮革染色剂
133,27,Lead chromate molybdate sulfate red (C.I. Pigment Red 104),钼铬红（CI颜料红104）,235-759-9,12656-85-8,铬酸铅基颜料。应用包括: 塑料（聚烯烃，聚氯乙烯，尼龙）、油墨、涂料、清漆、涂料、纺织印染、油毡和胶粘剂的着色
134,109,Lead cyanamidate,氨基氰铅盐,244-073-9,20837-86-9,防锈保护漆颜料
135,150,Lead di(acetate),醋酸铅,206-104-4,301-04-2,作为实验室化学品;在涂料和油漆，涂料，脱漆剂 
136,64,"Lead diazide, Lead azide",叠氮化铅,236-542-1,13424-46-9,主要用作民用和军事用途的炸药的引爆器或助推器; 用作烟火装置的引爆剂
