"工作表导出位置: C:\Users\Admin\Documents\Agilent\ICP Expert\My Results\20181123-1 ICP-Heavy Metal-Fe-FACT.esws"
""
"标签","类型","日期时间","元素","元素标签","标记","未计算的数据","浓度","单位","强度","浓度 SD","浓度 %RSD","强度 SD","强度 %RSD","重量","体积","稀释系数","内标","LIMS ID","自定义","自定义参比","采样日期时间","采样地点","说明","重复项","浓度 重复项 1","浓度 重复项 2","浓度 重复项 3","强度 重复项 1","强度 重复项 2","强度 重复项 3","标记 重复项 1","标记 重复项 2","标记 重复项 3"
"STD BLK","空白","2018/11/23 13:10:15","Mo 201.512","Mo","","0.00","0.00","ppm","11.74","-","-","4.36","37.11","-","-","-","-","","","","","","","3","0.00","0.00","0.00","15.81","7.14","12.27","","",""
"STD BLK","空白","2018/11/23 13:10:15","Mo 202.032","Mo(ref)","","0.00000","0.00000","ppm","27.17971","-","-","11.93992","43.93","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","16.00213","25.77866","39.75834","","",""
"STD BLK","空白","2018/11/23 13:10:15","Mo 204.598","Mo(ref)","","0.00","0.00","ppm","15.85","-","-","10.44","65.86","-","-","-","-","","","","","","","3","0.00","0.00","0.00","27.24","6.74","13.57","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ni 231.604","Ni","","0.00000","0.00000","ppm","19.02830","-","-","5.23166","27.49","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","21.71956","12.99886","22.36649","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ni 216.555","Ni(ref)","","0.00000","0.00000","ppm","18.25237","-","-","2.68266","14.70","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","18.77197","20.63723","15.34793","","",""
"STD BLK","空白","2018/11/23 13:10:15","Ni 221.648","Ni(ref)","","0.00000","0.00000","ppm","7.79295","-","-","2.57627","33.06","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","7.14604","10.63103","5.60180","","",""
"STD BLK","空白","2018/11/23 13:10:15","Pb 220.353","Pb","","0.00000","0.00000","ppm","21.76990","-","-","5.96103","27.38","-","-","-","Y (360.074 nm)","","","","","","","3","0.00000","0.00000","0.00000","24.15793","26.16667","14.98511","","",""
"STD BLK","空白","2018/11/23 13:10:15","Pb 182.143","Pb(ref)","","0.00000","0.00000","ppm","2.38023","-","-","1.07531","45.18","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","3.54084","2.18205","1.41779","","",""
"STD BLK","空白","2018/11/23 13:10:15","Pb 217.000","Pb(ref)","","0.00000","0.00000","ppm","6.32671","-","-","4.01937","63.53","-","-","-","Y (360.074 nm)","","","","","","","3","0.00000","0.00000","0.00000","3.42817","4.63684","10.91512","","",""
"STD BLK","空白","2018/11/23 13:10:15","Pb 261.417","Pb(ref)","","0.00000","0.00000","ppm","12.18446","-","-","10.26507","84.25","-","-","-","Y (360.074 nm)","","","","","","","3","0.00000","0.00000","0.00000","0.41278","19.27123","16.86938","","",""
"STD BLK","空白","2018/11/23 13:10:15","Pb 283.305","Pb(ref)","","0.00000","0.00000","ppm","17.79801","-","-","11.22823","63.09","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","29.60023","16.54487","7.24892","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sb 206.834","Sb","","0.00000","0.00000","ppm","30.84635","-","-","1.77855","5.77","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","32.64329","30.80899","29.08678","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sb 217.582","Sb(ref)","","0.00000","0.00000","ppm","5.10812","-","-","5.76185","> 100.00","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","10.96434","-0.55447","4.91449","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sb 231.146","Sb(ref)","","0.00000","0.00000","ppm","11.49654","-","-","10.06216","87.52","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","5.66923","23.11531","5.70509","","",""
"STD BLK","空白","2018/11/23 13:10:15","Se 196.026","Se","","0.00000","0.00000","ppm","22.51049","-","-","6.98561","31.03","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","19.27271","30.52753","17.73122","","",""
"STD BLK","空白","2018/11/23 13:10:15","Se 203.985","Se(ref)","","0.00000","0.00000","ppm","25.75228","-","-","12.89517","50.07","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","38.54588","12.75788","25.95309","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sn 189.925","Sn","","0.00000","0.00000","ppm","11.22558","-","-","8.60821","76.68","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","19.57092","11.72921","2.37661","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sn 235.485","Sn(ref)","","0.00000","0.00000","ppm","28.01796","-","-","6.67458","23.82","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","31.24553","20.34305","32.46528","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sn 283.998","Sn(ref)","","0.00000","0.00000","ppm","39.33083","-","-","3.90558","9.93","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","40.59519","34.94970","42.44760","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sr 407.771","Sr","","0.00000","0.00000","ppm","4132.37441","-","-","20.59714","0.50","-","-","-","-","","","","","","","3","0.00000","0.00000","0.00000","4114.50448","4154.90134","4127.71741","","",""
"STD BLK","空白","2018/11/23 13:10:15","Sr 421.552","Sr(ref)","","0.00","0.00","ppm","1640.45","-","-","8.44","0.51","-","-","-","-","","","","","","","3","0.00","0.00","0.00","1647.82","1642.28","1631.24","","",""
